Arrêt Code Long;Arrêt;Commune;Pays;CodeDidoc;Coordonnées;Actif
_BSDNF;Bossy-Dne - F;VERSONNEX;FR;;46.286907, 6.104478;Y
_BSDNS;Bossy-Dne - CH;COLLEX-BOSSY;CH;;46.287045, 6.104423;Y
_CERNF;CERN-Dne - F;PRÉVESSIN-MOËNS;FR;;46.235073, 6.050063;Y
_CERNS;CERN-Dne - CH;MEYRIN;CH;;46.234905, 6.050015;Y
_CHGIF;Chavannes-de-Bogis Douane dir. F;DIVONNE-LES-BAINS;FR;;46.345238, 6.154396;N
_CYDNF;Chancy-Dne_F;POUGNY;FR;;46.144291, 5.964744;Y
_CYDNS;Chancy-Dne_CH;CHANCY;CH;;46.144279, 5.964719;Y
_GSDNS;Grand-Saconnex-Dne - CH;LE GRAND-SACONNEX;CH;;46.248722, 6.120587;Y
_HEDOS;Hermance-Dne - CH;HERMANCE;CH;;46.302792, 6.247491;Y
_LADNS;Landecy-Dne - CH;BARDONNEX;CH;;46.141899, 6.132539;Y
_MOILF;Moillesulaz - F;GAILLARD;FR;;46.192303, 6.206844;Y
_PART;Terminus partiel;PUPLINGE;CH;;46.213306, 6.234388;N
_PEDOS;Perly-Dne - CH;PERLY-CERTOUX;CH;;46.151379, 6.089943;Y
_PLDOF;La Plaine-Dne - F;CHALLEX;FR;;46.177319, 5.991244;Y
_SADNF;Sauverny-Douane - F;SAUVERNY;FR;;46.311798, 6.120081;N
2MON00;Deux Montagnes;VILLE-LA-GRAND;FR;8595775;46.207569, 6.280971;N
31DC00;31 Décembre;GENÈVE;CH;8592773;46.201679, 6.161931;Y
3NOY01;Trois Noyers;VETRAZ-MONTHOUX;FR;8595860;46.179386, 6.245548;N
AAIN01;Avenue de l'Ain;VERNIER;CH;8593138;46.206238, 6.110056;Y
ABBA00;L'Abbaye;JUSSY;CH;8592965;46.222214, 6.251443;Y
ABBA01;L'Abbaye;JUSSY;CH;8592965;46.221935, 6.251527;Y
ABHP01;Ambilly ancien hôpital;AMBILLY;FR;8595740;46.197041, 6.227416;N
ABMA00;Ambilly Mairie;AMBILLY;FR;;46.195675, 6.223278;N
ABON00;Abondance;VILLE-LA-GRAND;FR;8595734;46.20348, 6.264939;N
ACAC00;Acacias;GENÈVE;CH;8592774;46.192608, 6.138086;Y
ACCM00;Archamps-Communauté-Communes;ARCHAMPS;FR;1401703;46.13802, 6.117425;N
ACCM01;Archamps-Communauté-Communes;ARCHAMPS;FR;1401703;46.137932, 6.117454;N
ACIA00;Acacias (F);AMBILLY;FR;8595365;46.191887, 6.220741;N
ACLP01;Avusy-Creux-du-Loup;AVUSY;CH;8595011;46.152206, 5.996209;N
ADLI01;Adrien Ligué;ANNEMASSE;FR;8595735;46.194099, 6.233103;N
ADOU00;Prévessin-Ancienne-Douane;PRÉVESSIN-MOËNS;FR;1401776;46.247616, 6.079414;Y
AERO05;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.23106, 6.110164;Y
AERO07;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.230312, 6.109378;Y
AERO09;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.230095, 6.10906;Y
AEROST;Aéroport Stationnement;LE GRAND-SACONNEX;CH;8592775;46.230373, 6.109453;N
AFER00;Alphonse-Ferrand;BERNEX;CH;8595224;46.165611, 6.055057;N
AGLA00;Prévessin-Les Aglands;PRÉVESSIN-MOËNS;FR;1401780;46.254463, 6.067934;Y
AGLA01;Prévessin-Les Aglands;PRÉVESSIN-MOËNS;FR;1401780;46.254604, 6.067879;Y
AGLI01;Anemasse-Glières;ANNEMASSE;FR;;46.188515, 6.243896;N
AIRE00;Aïre;VERNIER;CH;8593137;46.201393, 6.104383;Y
AIVI00;Aire-la-Ville-Centre;AIRE-LA-VILLE;CH;8587028;46.189987, 6.043569;Y
AIVT01;Aire-la-Ville-Treulaz;AIRE-LA-VILLE;CH;8592620;46.185955, 6.045369;N
AJEN01;Jeandin;THÔNEX;CH;8593106;46.190308, 6.198431;Y
AJEN99;Jeandin;THÔNEX;CH;8593106;46.190208, 6.198447;N
AJUR00;Ferney, centre;FERNEY-VOLTAIRE;FR;1401732;46.258194, 6.113211;Y
ALBA00;Avully-Bachères;AVULLY;CH;8595953;46.164593, 5.992242;Y
ALCM00;Allondon Camping;DARDAGNY;CH;;46.219395, 6.001043;N
ALEC01;Avully-Ecole;AVULLY;CH;8592627;46.167168, 6.005124;Y
ALMA00;Avully-Martinet;AVULLY;CH;8592628;46.158741, 5.986507;Y
ALPE01;Alpes;GENÈVE;CH;8592777;46.209145, 6.146775;N
ALPE98;Alpes;GENÈVE;CH;8592777;46.209, 6.14702;N
ALPR00;Altéa-P+R;CRANVES-SALES;FR;8505934;46.206268, 6.287698;N
ALTE03;Chasseurs;VILLE-LA-GRAND;FR;8595739;46.205807, 6.283778;N
AMAR01;Ami-Argand;VERSOIX;CH;8593182;46.286003, 6.160705;N
AMDO02;Amandolier;GENÈVE;CH;8592778;46.199718, 6.167406;Y
AMDO99;Amandolier;GENÈVE;CH;8592778;46.199959, 6.168462;N
ANCH00;Anières-Chavannes;ANIÈRES;CH;8592621;46.283092, 6.229185;Y
ANCH01;Anières-Chavannes;ANIÈRES;CH;8592621;46.283009, 6.229056;Y
ANCI01;Ancienne;CAROUGE;CH;8592668;46.18111, 6.140731;Y
ANCI99;Ancienne;CAROUGE;CH;8592668;46.181046, 6.140062;Y
ANER00;Ancienne-Route;LE GRAND-SACONNEX;CH;;46.238861, 6.124002;N
ANEX00;Annexion;ANNEMASSE;FR;8595742;46.186184, 6.238395;N
ANFR00;Ancienne Fruitière;SAINT-CERGUES;FR;8595741;46.230709, 6.317865;N
ANGA05;Annemasse Gare OT;ANNEMASSE;FR;1401854;46.198792, 6.237547;N
ANGA06;Annemasse Gare;ANNEMASSE;FR;1401854;46.19812, 6.235757;N
ANGA11;Annemasse Gare (Nord);ANNEMASSE;FR;1401854;;N
ANGAST;Annemasse Gare Stationnement;ANNEMASSE;FR;1401854;46.199059, 6.237925;N
ANGL00;Angleterre;GENÈVE;CH;;46.209602, 6.15059;N
ANGN00;Annemasse-Gare Rotonde;ANNEMASSE;FR;1401675;46.200794, 6.235209;N
ANGR01;Anières-Gravière;ANIÈRES;CH;8592625;46.28899, 6.237061;Y
ANGS01;Gare-Annemasse;ANNEMASSE;FR;1401854;46.199177, 6.237655;N
ANGS03;Gare-Annemasse;ANNEMASSE;FR;1401854;46.198841, 6.236924;N
ANGS05;Gare-Annemasse;ANNEMASSE;FR;1401854;46.199474, 6.238038;N
ANMA01;Anières-Mairie;ANIÈRES;CH;8595010;46.274727, 6.227606;Y
ANPT02;Annemasse Poste;ANNEMASSE;FR;8595361;46.194607, 6.233917;N
ANRS00;Anières-Village;ANIÈRES;CH;8587029;46.276932, 6.223249;Y
ANRS99;Anières-Mairie;ANIÈRES;CH;8587029;46.275307, 6.227156;N
APCB02;Archamps-Pont de Combe;ARCHAMPS;FR;1401637;46.139343, 6.129002;Y
APHO00;Aparthôtel;THOIRY;FR;;46.235847, 6.008456;N
APIA03;Appia;GENÈVE;CH;8588196;46.227661, 6.138014;Y
ARAN00;Arande;SAINT-JULIEN-EN-GENEVOIS;FR;1401795;46.140388, 6.080068;N
ARAR00;Arare;PLAN-LES-OUATES;CH;8593050;46.165424, 6.111233;Y
AREN01;Arena-Halle 7;LE GRAND-SACONNEX;CH;8592935;46.233032, 6.111853;Y
ARMA00;Louis Armand;VILLE-LA-GRAND;FR;;46.199551, 6.239883;N
ARMA01;Louis Armand;VILLE-LA-GRAND;FR;;46.199677, 6.239857;N
ARME02;Armes;CAROUGE;CH;8592669;46.186771, 6.139923;Y
ARME96;Armes;CAROUGE;CH;8592669;46.186909, 6.14053;N
ARPA01;Archamps Parc d'Affaires;ARCHAMPS;FR;;;N
ARTI01;Artisans;VILLE-LA-GRAND;FR;8595744;46.203392, 6.27335;N
ATCH01;Archamps-Technopole;ARCHAMPS;FR;8587380;46.139206, 6.120878;N
ATEC00;Athenaz-Ecole;AVUSY;CH;8592632;46.155231, 6.004169;Y
ATEC01;Athenaz-Ecole;AVUSY;CH;8592632;46.155254, 6.004194;N
ATEC02;Athenaz-Ecole;AVUSY;CH;8592632;46.155296, 6.004077;Y
ATHE03;Athénée;GENÈVE;CH;8592779;46.198288, 6.149093;Y
ATNA00;Athenaz;AVUSY;CH;;46.155178, 6.003177;N
ATPA03;Athenaz-Passeiry;AVUSY;CH;8592638;46.156116, 6.002087;Y
ATTV00;Attenville;LE GRAND-SACONNEX;CH;8592936;46.228069, 6.114282;Y
ATTV01;Attenville;LE GRAND-SACONNEX;CH;8592936;46.227665, 6.113772;Y
ATVI00;Athenaz-Village;AVUSY;CH;8587030;46.154583, 6.006995;Y
ATVI01;Athenaz-Village;AVUSY;CH;8587030;46.154594, 6.00706;Y
ATVI98;Athenaz-Village;AVUSY;CH;8587030;46.154659, 6.008719;N
AUBE01;Aubépine;GENÈVE;CH;8503333;46.187286, 6.147657;Y
